H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,7.09,1.34,10.67,3.03,6.97,1.34,10.29,3.41,6.87,1.34,10.29,3.8,262,11,257,0,22,0.2,22.8,21.6,3/25/2009,11:50:00
57,47,35,6.87,1.13,9.15,4.17,6.68,1.18,9.15,3.41,6.57,1.23,9.54,3.03,253,13,245,0,21.9,0,22.2,21.6,3/25/2009,12:00:00
57,47,35,8.04,1.4,11.45,4.56,7.8,1.34,10.29,4.56,7.65,1.4,10.29,4.17,262,8,256,0,22.2,0,22.5,22.2,3/25/2009,12:10:00
57,47,35,8.62,1.04,11.45,4.94,8.5,0.99,11.07,5.71,8.34,1.04,11.45,4.94,254,8,257,0,22.5,0.2,23.1,22.2,3/25/2009,12:20:00
57,47,35,7.3,1.08,9.92,4.17,7.2,1.13,10.29,3.8,6.99,1.18,9.54,4.17,261,9,255,0,22,0,22.2,21.9,3/25/2009,12:30:00
57,47,35,5.31,1.23,7.99,2.26,5.27,1.23,8.37,2.26,5.4,1.13,8.77,2.26,236,14,245,0,22.6,0.1,23.1,22.2,3/25/2009,12:40:00
57,47,35,5.16,1.18,8.37,2.26,5.14,1.29,7.99,2.26,5.67,1.18,8.37,2.65,232,12,235,0,22.8,0.2,23.4,22.2,3/25/2009,12:50:00
57,47,35,6.46,1.98,11.07,3.03,6.46,1.9,10.29,3.03,6.5,1.74,10.29,3.03,253,17,241,0,23.9,0.4,24.9,23.4,3/25/2009,13:00:00
57,47,35,6.09,1.29,10.29,2.65,5.83,1.34,10.29,2.65,5.65,1.34,9.92,2.26,243,13,245,0,24.3,0.1,24.9,24,3/25/2009,13:10:00
57,47,35,5.84,1.23,9.92,2.65,5.83,1.29,9.54,1.88,5.85,1.29,9.15,2.65,239,15,247,0,24.5,0.2,25.2,24,3/25/2009,13:20:00
57,47,35,7.07,1.29,11.45,3.8,7,1.34,11.45,3.41,7.06,1.4,11.82,3.41,260,12,256,0,24,0,24.3,24,3/25/2009,13:30:00
57,47,35,6.46,1.74,11.82,3.41,6.41,1.67,11.07,2.65,6.43,1.67,10.67,2.65,257,12,254,0,24.3,0,24.6,24,3/25/2009,13:40:00
57,47,35,6.78,1.4,11.45,3.8,6.83,1.34,11.82,4.17,6.34,1.13,9.54,3.41,279,11,279,0,25,0.4,25.5,24.6,3/25/2009,13:50:00
57,47,35,7.27,1.67,11.45,3.41,7.4,1.67,11.45,3.8,7.03,1.6,11.45,3.8,279,18,279,0,25,0.2,25.8,24.9,3/25/2009,14:00:00
57,47,35,7.48,1.04,10.29,5.32,7.77,1.23,10.67,4.94,7.59,1.23,10.67,4.56,269,13,274,0,24.4,0,24.9,24,3/25/2009,14:10:00
57,47,35,9.44,1.47,12.96,5.71,9.26,1.4,12.59,5.71,9.05,1.53,12.2,4.94,259,7,264,0,24.2,0,24.6,24,3/25/2009,14:20:00
57,47,35,7.22,1.34,10.29,3.8,7.31,1.4,10.29,4.17,7,1.29,9.92,4.17,285,13,284,0,25.2,0.4,26.1,24.6,3/25/2009,14:30:00
57,47,35,7.85,1.9,12.96,4.17,7.91,1.9,12.2,4.17,7.8,1.98,12.2,4.56,270,10,276,0,24.9,0.4,26.1,24.6,3/25/2009,14:40:00
57,47,35,8.18,1.47,12.2,5.32,8.16,1.47,11.45,4.56,7.98,1.4,11.45,5.32,257,15,265,0,24.9,0.1,25.2,24.9,3/25/2009,14:50:00
57,47,35,7.71,1.74,11.82,4.17,8.23,1.9,12.2,3.41,7.89,1.9,11.82,3.03,279,12,281,0,24.9,0,25.2,24.9,3/25/2009,15:00:00
57,47,35,7.85,1.47,11.82,4.94,7.98,1.34,11.82,4.94,7.78,1.29,11.45,5.32,264,12,253,0,24.9,0.1,25.5,24.6,3/25/2009,15:10:00
57,47,35,7.2,1.74,12.59,3.41,7.18,1.82,12.59,3.41,6.92,1.9,12.2,3.41,274,10,290,0,25.2,0.1,25.8,24.9,3/25/2009,15:20:00
57,47,35,7.25,1.67,12.2,3.8,7.28,1.53,11.82,2.65,7.13,1.47,11.07,3.41,268,11,276,0,25.2,0.2,25.8,24.9,3/25/2009,15:30:00
57,47,35,9.03,1.9,12.96,4.17,8.95,1.82,12.59,4.94,8.76,1.9,12.96,4.17,267,8,272,0,25.2,0.1,25.5,24.9,3/25/2009,15:40:00
57,47,35,7.34,1.67,12.2,3.8,7.55,1.67,12.96,3.8,7.34,1.53,11.82,4.17,270,9,285,0,25.1,0,25.5,24.9,3/25/2009,15:50:00
57,47,35,7.97,1.4,11.07,4.94,8.21,1.34,11.07,4.94,7.73,1.29,11.07,4.56,280,9,275,0,25.1,0,25.5,24.9,3/25/2009,16:00:00
