H49,H39,H30,H10,Mean49,SD49,Max49,Min49,Mean39,SD39,Max39,Min39,Mean30,SD30,Max30,Min30,Mean10,SD10,Max10,Min10,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
49,39,30,10,6.15,0.54,7.24,4.56,4.38,0.59,5.71,3.03,3.01,0.52,4.17,1.88,2.91,0.56,4.17,1.12,163.21,7.28,175.39,0,11.96,0,12.09,11.83,10/11/2007,0:00:00
49,39,30,10,5.69,0.56,7.61,3.8,4.05,0.62,5.71,2.65,2.59,0.62,4.17,1.12,2.48,0.64,4.17,1.12,164.51,7.28,173.97,0,12.23,0,12.36,12.09,10/11/2007,0:10:00
49,39,30,10,5.42,0.52,6.85,4.17,3.89,0.52,5.32,2.65,2.55,0.45,3.8,1.12,2.39,0.45,3.8,1.12,171.39,7.28,173.03,0,12.09,0,12.09,11.83,10/11/2007,0:20:00
49,39,30,10,5.48,0.52,6.85,3.8,4.19,0.5,5.71,2.26,2.5,0.42,3.8,1.5,2.33,0.44,3.8,1.5,174.02,7.94,184.64,0,11.89,0,12.09,11.56,10/11/2007,0:30:00
49,39,30,10,5.13,0.56,6.85,3.8,3.93,0.44,5.32,2.65,2.88,0.45,4.94,1.88,2.64,0.5,4.56,1.12,169.7,8.66,162.14,0,11.83,0,12.09,11.56,10/11/2007,0:40:00
49,39,30,10,5.28,0.64,6.85,3.8,3.96,0.67,5.71,2.65,3.07,0.56,4.56,1.88,3.02,0.64,4.94,1.88,163.1,8.29,161.27,0,12.29,0.06,12.36,11.83,10/11/2007,0:50:00
49,39,30,10,6.7,0.67,8.37,5.32,4.87,0.67,6.47,3.03,3.92,0.47,5.71,3.03,3.73,0.5,5.71,2.65,171.28,9.44,195.45,0,12.56,0.05,12.9,12.36,10/11/2007,1:00:00
49,39,30,10,6.5,0.7,8.77,4.94,4.88,0.47,6.09,3.41,4.2,0.45,5.71,3.41,4.06,0.45,5.71,3.03,167.58,9.86,176.34,0,12.56,0.03,12.9,12.36,10/11/2007,1:10:00
49,39,30,10,6.17,0.38,7.24,5.32,4.89,0.37,5.71,3.8,4.16,0.32,4.94,3.41,4.14,0.28,4.94,3.41,163.21,7.61,157.81,0,12.23,0.1,12.36,11.83,10/11/2007,1:20:00
49,39,30,10,6.78,0.29,7.61,6.09,5.46,0.35,6.47,4.56,4.32,0.34,5.32,3.41,4.52,0.34,5.32,3.41,168.36,6.68,172.56,0,12.03,0,12.09,11.83,10/11/2007,1:30:00
49,39,30,10,6.51,0.27,7.24,5.71,5.28,0.37,6.47,4.56,4.1,0.34,5.32,3.03,4.3,0.34,5.32,3.8,164.84,6.97,159.53,0,11.7,0.12,11.83,11.3,10/11/2007,1:40:00
49,39,30,10,6.58,0.23,6.85,6.09,5.49,0.32,6.47,4.56,3.97,0.28,4.56,3.03,4.16,0.29,4.94,3.03,164.62,6.12,149.49,0,11.36,0,11.56,11.3,10/11/2007,1:50:00
49,39,30,10,6.73,0.29,7.61,6.09,5.68,0.37,6.47,4.94,4.04,0.45,5.32,2.65,4.17,0.47,5.32,3.03,158.65,3.97,155.27,0,11.1,0,11.3,10.77,10/11/2007,2:00:00
49,39,30,10,6.33,0.29,7.24,5.32,5.49,0.26,6.09,4.94,3.89,0.37,4.94,3.03,4.06,0.4,4.94,3.03,164.51,5.86,154.43,0,10.9,0,11.03,10.77,10/11/2007,2:10:00
49,39,30,10,6.21,0.26,6.85,5.71,5.67,0.29,6.47,4.94,3.86,0.35,4.56,3.03,4.05,0.35,4.94,3.03,163.64,5.38,162.14,0,10.84,0,11.03,10.77,10/11/2007,2:20:00
