H49,H39,H30,H10,Mean49,SD49,Max49,Min49,Mean39,SD39,Max39,Min39,Mean30,SD30,Max30,Min30,Mean10,SD10,Max10,Min10,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
49,39,30,10,2.8,0.38,3.8,1.88,2.58,0.45,3.8,1.5,2.39,0.56,3.8,0.73,1.27,0.56,0.35,0.35,277,10,273,0,75.9,0,76.1,75.6,6/30/2003,9:50:00
49,39,30,10,2.29,0.59,3.8,1.12,1.79,0.91,3.8,0.35,1.71,0.87,3.41,0.35,1.05,0.87,0.35,0.35,284,14,307,0,76.1,0,76.1,75.6,6/30/2003,10:00:00
49,39,30,10,2.64,0.64,4.17,1.12,2.24,0.83,3.8,0.35,2.08,0.95,3.8,0.35,1.18,0.95,0.35,0.35,287,15,272,0,76.4,0,76.7,76.1,6/30/2003,10:10:00
49,39,30,10,2.71,0.54,3.8,1.12,2.52,0.67,3.8,0.73,2.41,0.77,4.17,0.73,1.28,0.77,0.35,0.35,277,11,297,0,76.3,0,76.7,76.1,6/30/2003,10:20:00
49,39,30,10,3.14,0.54,4.17,1.5,2.95,0.62,4.56,1.12,2.77,0.62,4.56,1.12,1.37,0.62,0.35,0.35,246,8,253,0,76.4,0,76.7,76.1,6/30/2003,10:30:00
49,39,30,10,1.98,1.23,4.94,0.35,1.69,1.29,4.94,0.35,1.63,1.18,4.94,0.35,1.02,1.18,0.35,0.35,226,17,234,0,77.1,0.3,77.8,76.1,6/30/2003,10:40:00
49,39,30,10,3.17,0.56,4.56,1.88,2.88,0.56,4.17,1.12,2.62,0.67,4.17,0.73,1.33,0.67,0.35,0.35,259,15,246,0,76.7,0,77.2,76.1,6/30/2003,10:50:00
49,39,30,10,2.33,0.83,4.17,0.35,1.95,0.99,4.17,0.35,1.54,1.13,4.17,0.35,0.98,1.13,0.35,0.35,271,28,252,0,77.4,0.3,78.3,76.7,6/30/2003,11:00:00
49,39,30,10,2.37,0.64,3.8,0.35,2.03,0.87,3.8,0.35,1.9,0.91,3.8,0.35,1.12,0.91,0.35,0.35,256,20,282,0,77.4,0,77.8,77.2,6/30/2003,11:10:00
49,39,30,10,2.8,1.13,5.32,0.73,2.51,1.29,4.94,0.35,2.25,1.18,4.94,0.35,1.23,1.18,0.35,0.35,249,15,238,0,77.1,0.3,77.8,76.1,6/30/2003,11:20:00
49,39,30,10,2.61,0.73,4.94,0.73,2.12,0.77,4.56,0.35,1.77,0.77,4.17,0.35,1.07,0.77,0.35,0.35,238,22,238,0,77.5,0.1,77.8,77.2,6/30/2003,11:30:00
49,39,30,10,3.81,0.67,4.94,1.88,3.63,0.67,5.32,1.88,3.14,0.95,4.94,0.35,1.45,0.95,0.35,0.35,242,13,249,0,76.4,0.3,77.2,75.6,6/30/2003,11:40:00
49,39,30,10,3.95,0.83,5.71,1.5,3.65,0.83,5.32,1.88,3.11,0.8,4.56,1.12,1.44,0.8,0.35,0.35,278,14,279,0,75.9,0.4,76.7,75.6,6/30/2003,11:50:00
49,39,30,10,3.27,0.77,5.71,1.88,2.9,0.8,5.71,1.12,2.61,0.7,4.17,1.12,1.33,0.7,0.35,0.35,288,15,274,0,77.4,0.5,78.3,76.1,6/30/2003,12:00:00
49,39,30,10,1.06,0.67,3.03,0.35,0.69,0.5,2.65,0.35,0.64,0.44,2.26,0.35,0.35,0.44,0.35,0.35,248,35,340,0,79.1,0.6,80.5,77.8,6/30/2003,12:10:00
49,39,30,10,4.03,0.67,6.09,1.88,3.69,0.7,5.71,1.12,3.49,0.77,4.94,1.12,1.51,0.77,0.35,0.35,265,11,273,0,78.6,0.7,80,77.8,6/30/2003,12:20:00
49,39,30,10,3.06,0.7,5.32,1.5,2.85,0.77,4.94,1.12,2.57,0.87,4.56,0.35,1.32,0.87,0.35,0.35,304,35,279,0,78.1,0,79.4,77.2,6/30/2003,12:30:00
49,39,30,10,3.08,0.59,4.94,1.5,2.87,0.64,4.56,1.12,2.78,0.8,4.94,0.73,1.37,0.8,0.35,0.35,302,15,343,0,78.5,0,79.4,78.3,6/30/2003,12:40:00
49,39,30,10,1.63,0.83,3.8,0.35,1.44,0.99,4.17,0.35,1.25,0.87,3.8,0.35,0.82,0.87,0.35,0.35,287,13,282,0,78.9,0,79.4,78.3,6/30/2003,12:50:00
49,39,30,10,3.57,1.23,6.47,0.35,3.21,1.4,5.32,0.35,2.85,1.29,5.32,0.35,1.39,1.29,0.35,0.35,263,22,286,0,78.7,0,80,78.3,6/30/2003,13:00:00
