H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,5.49,0.7,8.37,3.8,5.79,0.62,7.61,4.17,5.8,0.67,7.61,4.56,262,6,263,0,2.8,0,2.9,2.5,11/16/2010,5:40:00
57,47,35,6.21,0.73,8.77,4.94,6.6,0.59,8.37,5.32,6.6,0.59,8.37,4.94,265,6,260,0,2.5,0.1,2.9,2.2,11/16/2010,5:50:00
57,47,35,6.1,0.64,7.99,4.56,6.48,0.73,8.37,4.56,6.44,0.52,8.37,4.94,263,6,268,0,2.9,0.2,3.4,2.5,11/16/2010,6:00:00
57,47,35,6.38,0.64,7.99,4.17,6.45,0.5,7.61,5.32,6.33,0.52,8.37,5.32,254,6,259,0,3.3,0,3.4,2.9,11/16/2010,6:10:00
57,47,35,6.29,0.56,7.99,4.94,6.35,0.5,7.99,4.94,6.25,0.5,7.61,4.94,252,6,258,0,2.9,0.1,3.2,2.5,11/16/2010,6:20:00
57,47,35,5.77,0.62,7.61,4.17,6.04,0.47,7.61,4.94,5.92,0.4,6.85,4.94,255,5,264,0,2.4,0.2,3.2,2.2,11/16/2010,6:30:00
57,47,35,5.48,0.83,7.24,3.8,5.46,0.5,6.85,4.56,5.64,0.47,6.85,4.17,265,6,270,0,2.6,0.4,3.2,2.2,11/16/2010,6:40:00
57,47,35,5.13,0.7,7.24,3.8,5.33,0.5,6.47,4.17,5.79,0.45,6.85,4.17,266,4,269,0,3,0,3.2,2.9,11/16/2010,6:50:00
57,47,35,6.18,0.91,7.99,4.56,5.67,0.52,7.24,4.56,5.64,0.54,7.24,4.17,267,5,268,0,3.1,0,3.4,2.9,11/16/2010,7:00:00
57,47,35,5.75,0.99,7.99,4.17,5.71,0.47,6.85,4.56,5.74,0.59,7.24,4.17,266,5,260,0,2.9,0.3,3.2,2.2,11/16/2010,7:10:00
57,47,35,5.54,0.56,7.61,4.56,5.96,0.45,7.24,4.94,6.17,0.67,7.61,4.56,270,3,269,0,2.3,0,2.5,2.2,11/16/2010,7:20:00
57,47,35,5.97,0.73,7.61,4.17,6.8,0.8,7.99,4.94,7.01,0.45,7.99,5.32,263,5,268,0,2.9,0.2,3.4,2.5,11/16/2010,7:30:00
57,47,35,6.67,0.77,8.37,5.32,7.27,0.59,8.37,5.71,6.8,0.47,7.99,5.71,258,4,256,0,3.3,0,3.7,3.2,11/16/2010,7:40:00
57,47,35,6.45,0.56,7.99,5.32,6.73,0.62,8.37,5.32,6.76,0.62,7.99,4.94,262,5,263,0,3.3,0,3.4,2.9,11/16/2010,7:50:00
57,47,35,6.75,0.7,8.77,4.94,7.18,0.73,8.77,5.71,7.01,0.44,7.99,5.32,260,7,276,0,3.7,0.2,4.2,3.2,11/16/2010,8:00:00
57,47,35,6.91,0.54,7.99,5.32,6.85,0.5,7.99,4.94,6.14,0.62,7.61,3.8,250,6,254,0,4,0,4.2,3.9,11/16/2010,8:10:00
57,47,35,6.16,0.73,7.99,4.56,6.41,0.64,7.99,4.56,5.99,0.62,7.61,3.8,255,7,256,0,4.4,0.2,4.9,4.2,11/16/2010,8:20:00
57,47,35,5.5,0.77,7.61,3.8,5.51,0.67,7.24,3.41,4.88,0.52,6.47,3.8,268,7,259,0,5.3,0.3,5.9,4.9,11/16/2010,8:30:00
57,47,35,5.22,0.83,6.85,3.03,5.04,0.73,6.85,3.41,4.32,0.7,6.47,2.65,271,7,276,0,6.4,0.3,7.2,5.9,11/16/2010,8:40:00
57,47,35,5.7,0.52,6.47,4.17,5.5,0.8,6.47,3.03,4.46,0.77,6.09,2.65,282,9,263,0,7.3,0,7.7,6.9,11/16/2010,8:50:00
57,47,35,5.39,0.52,6.85,4.17,5.93,0.52,6.85,3.8,4.76,0.62,6.09,3.03,285,5,289,0,8,0.2,8.4,7.7,11/16/2010,9:00:00
57,47,35,4.7,0.47,6.09,3.41,4.87,0.59,6.09,3.41,4.26,0.54,6.09,3.03,266,12,280,0,8.3,0.2,8.9,7.9,11/16/2010,9:10:00
57,47,35,3.97,0.67,5.71,2.26,3.95,0.62,5.32,2.65,3.99,0.54,5.32,2.65,252,9,240,0,9.3,0.1,9.7,8.9,11/16/2010,9:20:00
57,47,35,4.01,0.7,5.71,1.88,3.88,0.62,5.32,1.88,3.77,0.56,4.94,2.26,244,11,255,0,9.9,0.1,10.2,9.7,11/16/2010,9:30:00
57,47,35,4.39,0.52,6.09,3.03,4.35,0.5,5.71,3.03,4.21,0.52,5.71,2.65,250,8,261,0,10.5,0,10.8,10.2,11/16/2010,9:40:00
57,47,35,3.85,0.45,4.94,2.26,3.79,0.45,4.94,2.65,3.73,0.54,4.94,2.26,247,10,253,0,10.9,0,11,10.8,11/16/2010,9:50:00
57,47,35,3.39,0.62,5.32,1.5,3.43,0.59,5.32,1.88,3.46,0.62,5.32,1.5,237,10,219,0,11.2,0.2,11.3,10.8,11/16/2010,10:00:00
57,47,35,3.41,0.62,4.94,1.88,3.47,0.59,4.94,1.5,3.58,0.56,4.94,2.26,234,11,231,0,11.6,0.1,11.8,11.3,11/16/2010,10:10:00
57,47,35,3.04,0.64,4.94,1.12,3.11,0.59,4.56,1.5,3.02,0.62,4.56,1.5,227,13,250,0,11.9,0,12.1,11.6,11/16/2010,10:20:00
57,47,35,2.83,0.52,4.56,1.88,2.93,0.62,4.56,1.12,3.05,0.62,4.94,1.5,234,13,232,0,12.3,0.2,12.9,11.8,11/16/2010,10:30:00
57,47,35,3.38,0.67,5.71,1.5,3.38,0.77,4.94,1.12,3.33,0.67,5.32,1.88,240,13,239,0,13.3,0.4,14,12.4,11/16/2010,10:40:00
57,47,35,3.56,0.67,5.32,1.5,3.57,0.77,5.32,1.5,3.54,0.77,5.32,1.12,242,13,241,0,13.6,0,14,13.7,11/16/2010,10:50:00
57,47,35,3.22,0.95,5.32,1.12,3.07,0.95,5.32,0.73,2.96,0.91,4.94,1.12,240,19,241,0,14.1,0.1,14.5,13.7,11/16/2010,11:00:00
57,47,35,3.72,0.8,5.32,1.5,3.61,0.83,6.09,1.5,3.46,0.95,6.09,1.12,246,12,253,0,14.3,0,14.8,14.2,11/16/2010,11:10:00
57,47,35,4.46,0.91,6.85,1.88,4.41,0.95,6.47,2.26,4.32,0.99,6.85,1.5,248,12,226,0,14.8,0.1,15.3,14.5,11/16/2010,11:20:00
57,47,35,4.41,1.08,6.85,1.5,4.51,1.08,6.85,1.88,4.69,1.08,7.61,1.5,228,19,242,0,14.9,0,15.3,14.8,11/16/2010,11:30:00
57,47,35,4.41,1.18,6.85,1.5,4.49,1.23,6.85,1.12,4.52,1.34,6.85,1.88,214,15,235,0,15.3,0.1,15.6,15.1,11/16/2010,11:40:00
57,47,35,4.96,0.99,7.24,2.65,5.1,1.08,7.61,2.65,5.23,1.18,7.61,2.26,212,11,208,0,15.6,0,15.6,15.3,11/16/2010,11:50:00
