H49,H39,H30,H10,Mean49,SD49,Max49,Min49,Mean39,SD39,Max39,Min39,Mean30,SD30,Max30,Min30,Mean10,SD10,Max10,Min10,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
49,39,30,10,3.04,0.15,3.41,2.65,3.09,0.17,3.41,2.65,2.22,0.21,2.65,1.88,1.23,0.21,0.35,0.35,201,1,203,0,36.8,0,37.3,36.8,4/10/2003,0:00:00
49,39,30,10,3.15,0.18,3.41,3.03,3.11,0.17,3.41,2.65,1.99,0.26,2.65,1.12,1.15,0.26,0.35,0.35,202,1,201,0,36.6,0.1,37.3,36.4,4/10/2003,0:10:00
49,39,30,10,3.19,0.19,3.41,3.03,3.35,0.18,3.8,3.03,2.04,0.19,2.26,1.88,1.17,0.19,0.35,0.35,203,0,202,0,36.3,0,36.4,36.4,4/10/2003,0:20:00
49,39,30,10,3.25,0.2,3.8,3.03,3.38,0.17,3.8,3.03,1.9,0.21,2.26,1.5,1.12,0.21,0.35,0.35,200,1,202,0,36.2,0,36.4,36,4/10/2003,0:30:00
49,39,30,10,3.35,0.16,3.8,3.03,3.23,0.19,3.41,3.03,1.85,0.23,2.26,1.5,1.1,0.23,0.35,0.35,202,2,201,0,36.5,0.4,37.3,36,4/10/2003,0:40:00
49,39,30,10,3.5,0.18,3.8,3.03,3.44,0.18,3.8,3.03,1.97,0.18,2.26,1.5,1.15,0.18,0.35,0.35,206,0,206,0,37.6,0,37.7,37.3,4/10/2003,0:50:00
49,39,30,10,3.58,0.19,4.17,3.41,3.35,0.16,3.8,3.03,1.76,0.18,2.26,1.5,1.07,0.18,0.35,0.35,210,1,210,0,37.5,0.1,37.7,37.3,4/10/2003,1:00:00
49,39,30,10,3.82,0.23,4.17,3.41,3.63,0.19,4.17,3.41,2.03,0.26,2.65,1.5,1.17,0.26,0.35,0.35,209,0,210,0,37.3,0,37.3,36.8,4/10/2003,1:10:00
49,39,30,10,3.63,0.23,4.17,3.41,3.81,0.13,4.17,3.41,2.3,0.38,3.03,1.5,1.25,0.38,0.35,0.35,203,2,202,0,36.7,0.3,37.3,36,4/10/2003,1:20:00
49,39,30,10,3.45,0.21,3.8,3.03,3.91,0.18,4.17,3.41,2.29,0.27,3.03,1.88,1.25,0.27,0.35,0.35,205,0,203,0,36.1,0.2,36.4,35.5,4/10/2003,1:30:00
49,39,30,10,3.59,0.19,3.8,3.03,4.2,0.26,4.94,3.8,2.67,0.27,3.41,1.88,1.34,0.27,0.35,0.35,203,1,205,0,36.2,0,36.4,36,4/10/2003,1:40:00
49,39,30,10,4.17,0.42,4.94,3.41,4.9,0.23,5.32,4.56,3.2,0.19,3.41,2.65,1.46,0.19,0.35,0.35,196,4,193,0,35.5,0.3,36,34.7,4/10/2003,1:50:00
49,39,30,10,4.72,0.29,5.32,4.17,5.16,0.2,5.71,4.56,3.23,0.23,3.8,2.65,1.46,0.23,0.35,0.35,191,1,191,0,34.7,0,35.1,34.2,4/10/2003,2:00:00
49,39,30,10,4.23,0.4,5.32,3.8,4.95,0.26,5.32,4.56,3.25,0.23,3.8,2.65,1.47,0.23,0.35,0.35,191,1,191,0,34.5,0,35.1,34.2,4/10/2003,2:10:00
49,39,30,10,4.29,0.24,4.94,3.8,4.6,0.19,4.94,4.17,2.85,0.21,3.41,2.26,1.39,0.21,0.35,0.35,194,2,193,0,34.9,0,35.1,34.7,4/10/2003,2:20:00
49,39,30,10,4.21,0.17,4.56,3.8,4.46,0.2,4.94,3.8,2.34,0.47,3.41,1.12,1.26,0.47,0.35,0.35,201,2,199,0,35.4,0.3,36.4,35.1,4/10/2003,2:30:00
49,39,30,10,4.26,0.18,4.56,3.8,4.01,0.2,4.56,3.8,2.36,0.25,3.03,1.5,1.27,0.25,0.35,0.35,202,0,203,0,36.6,0.1,36.8,36,4/10/2003,2:40:00
49,39,30,10,4.43,0.19,4.94,4.17,4.26,0.24,4.94,3.8,2.54,0.21,3.03,1.88,1.31,0.21,0.35,0.35,194,5,188,0,36.3,0,36.8,35.5,4/10/2003,2:50:00
49,39,30,10,4.36,0.19,4.94,4.17,4.57,0.26,4.94,4.17,2.53,0.21,3.03,1.88,1.31,0.21,0.35,0.35,195,2,189,0,35.4,0,36,35.1,4/10/2003,3:00:00
49,39,30,10,4.45,0.18,4.94,4.17,4.77,0.19,4.94,4.56,2.34,0.23,2.65,1.88,1.26,0.23,0.35,0.35,197,1,197,0,35,0,35.5,35.1,4/10/2003,3:10:00
49,39,30,10,4.29,0.18,4.56,4.17,4.33,0.19,4.94,4.17,2.31,0.22,2.65,1.88,1.25,0.22,0.35,0.35,199,0,199,0,34.8,0,35.1,34.7,4/10/2003,3:20:00
49,39,30,10,4.2,0.12,4.56,3.8,4.09,0.2,4.56,3.41,2.15,0.23,2.65,1.5,1.21,0.23,0.35,0.35,201,2,199,0,35.3,0.4,36,35.1,4/10/2003,3:30:00
49,39,30,10,3.98,0.19,4.17,3.8,3.85,0.25,4.17,3.41,1.73,0.31,2.26,1.12,1.06,0.31,0.35,0.35,206,0,206,0,35.8,0,36,35.5,4/10/2003,3:40:00
49,39,30,10,3.86,0.16,4.17,3.41,3.98,0.2,4.17,3.41,1.86,0.28,2.26,1.12,1.11,0.28,0.35,0.35,207,0,207,0,36.1,0.1,36.4,35.5,4/10/2003,3:50:00
49,39,30,10,3.96,0.19,4.17,3.41,4.11,0.2,4.56,3.8,1.91,0.27,2.65,1.12,1.13,0.27,0.35,0.35,206,1,207,0,36,0.3,36.4,35.5,4/10/2003,4:00:00
49,39,30,10,4.33,0.2,4.56,3.8,4.45,0.23,4.94,3.8,2.62,0.35,3.41,1.88,1.33,0.35,0.35,0.35,201,2,204,0,35,0.2,35.5,34.2,4/10/2003,4:10:00
49,39,30,10,4.53,0.17,4.94,4.17,4.67,0.23,5.32,4.17,2.87,0.19,3.03,2.65,1.39,0.19,0.35,0.35,198,1,196,0,34.5,0,35.1,34.2,4/10/2003,4:20:00
49,39,30,10,4.76,0.19,4.94,4.56,4.92,0.29,5.71,4.17,2.57,0.23,3.03,2.26,1.32,0.23,0.35,0.35,193,1,195,0,34.4,0,34.7,34.2,4/10/2003,4:30:00
49,39,30,10,5.02,0.18,5.32,4.56,4.8,0.28,5.32,4.17,2.8,0.22,3.41,2.26,1.38,0.22,0.35,0.35,193,1,192,0,34.4,0,34.2,34.2,4/10/2003,4:40:00
49,39,30,10,5.24,0.18,5.71,4.94,4.76,0.28,5.32,4.17,2.59,0.27,3.41,1.88,1.32,0.27,0.35,0.35,191,2,189,0,34.4,0,34.2,34.2,4/10/2003,4:50:00
49,39,30,10,5.55,0.2,6.09,4.94,4.74,0.26,5.32,4.17,2.69,0.31,3.8,1.88,1.35,0.31,0.35,0.35,189,2,186,0,34.4,0,34.2,34.2,4/10/2003,5:00:00
49,39,30,10,5.3,0.2,5.71,4.94,4.46,0.29,5.32,3.8,2.44,0.28,3.03,1.88,1.29,0.28,0.35,0.35,193,2,189,0,34.5,0,35.1,34.2,4/10/2003,5:10:00
49,39,30,10,5.53,0.2,5.71,4.94,4.26,0.26,4.94,3.8,2.11,0.27,2.65,1.5,1.19,0.27,0.35,0.35,191,2,193,0,34.7,0,35.1,34.2,4/10/2003,5:20:00
49,39,30,10,5.69,0.17,6.09,5.32,4.51,0.23,4.94,3.8,2.37,0.25,3.03,1.5,1.27,0.25,0.35,0.35,192,1,193,0,34.7,0,35.1,34.2,4/10/2003,5:30:00
49,39,30,10,5.58,0.19,6.09,5.32,4.43,0.24,4.94,3.8,2.31,0.27,3.03,1.5,1.25,0.27,0.35,0.35,192,2,193,0,34.5,0,35.1,34.2,4/10/2003,5:40:00
49,39,30,10,5.54,0.21,6.09,4.94,4.43,0.22,4.94,3.8,2.55,0.24,3.41,1.88,1.32,0.24,0.35,0.35,192,2,190,0,34.4,0,34.7,34.2,4/10/2003,5:50:00
49,39,30,10,5.26,0.21,5.71,4.94,4.21,0.2,4.56,3.8,2.33,0.26,3.03,1.88,1.26,0.26,0.35,0.35,196,1,194,0,34.4,0,34.7,34.2,4/10/2003,6:00:00
49,39,30,10,4.9,0.15,5.32,4.56,4.06,0.2,4.56,3.41,1.86,0.23,2.26,1.12,1.11,0.23,0.35,0.35,195,2,195,0,34.4,0,34.2,34.2,4/10/2003,6:10:00
49,39,30,10,4.85,0.19,5.32,4.56,4.04,0.19,4.56,3.8,1.84,0.24,2.65,1.12,1.1,0.24,0.35,0.35,196,3,193,0,34.1,0,34.2,33.8,4/10/2003,6:20:00
49,39,30,10,5.07,0.18,5.32,4.56,3.77,0.19,4.17,3.41,1.9,0.25,2.65,1.12,1.12,0.25,0.35,0.35,201,1,201,0,34.9,0,35.5,34.2,4/10/2003,6:30:00
49,39,30,10,5.33,0.13,5.71,4.94,4.19,0.12,4.56,3.8,2.22,0.21,2.65,1.5,1.22,0.21,0.35,0.35,201,1,203,0,35.2,0,35.5,35.1,4/10/2003,6:40:00
49,39,30,10,5.3,0.13,5.71,4.94,4.39,0.2,4.94,3.8,2.49,0.34,3.03,1.88,1.3,0.34,0.35,0.35,202,0,202,0,35.3,0,35.5,35.5,4/10/2003,6:50:00
49,39,30,10,5.21,0.18,5.71,4.94,4.43,0.18,4.56,4.17,2.67,0.26,3.03,2.26,1.35,0.26,0.35,0.35,205,3,207,0,35.4,0,35.5,35.5,4/10/2003,7:00:00
49,39,30,10,5.25,0.17,5.71,4.94,4.46,0.18,4.94,4.17,2.04,0.26,2.65,1.5,1.17,0.26,0.35,0.35,211,1,212,0,35.4,0,35.5,35.5,4/10/2003,7:10:00
49,39,30,10,5.26,0.15,5.71,4.94,4.21,0.18,4.56,3.8,1.86,0.18,2.26,1.5,1.11,0.18,0.35,0.35,213,1,215,0,35,0,35.5,35.1,4/10/2003,7:20:00
49,39,30,10,5.18,0.18,5.71,4.94,4.13,0.18,4.56,3.8,2.01,0.34,3.03,1.5,1.16,0.34,0.35,0.35,218,2,220,0,34.9,0,35.1,34.7,4/10/2003,7:30:00
49,39,30,10,4.88,0.16,5.32,4.56,4.24,0.16,4.56,3.8,2.32,0.23,3.03,1.88,1.26,0.23,0.35,0.35,222,1,221,0,35,0,35.1,34.7,4/10/2003,7:40:00
49,39,30,10,4.87,0.16,5.32,4.56,4.17,0.18,4.56,3.8,1.9,0.25,2.26,1.12,1.12,0.25,0.35,0.35,224,1,224,0,35,0,35.5,35.1,4/10/2003,7:50:00
49,39,30,10,4.66,0.18,4.94,4.17,3.79,0.2,4.17,3.41,1.67,0.27,2.26,0.73,1.03,0.27,0.35,0.35,222,2,224,0,35.6,0,36,35.5,4/10/2003,8:00:00
49,39,30,10,4.36,0.19,4.56,4.17,3.56,0.2,4.17,3.03,1.82,0.38,3.03,0.73,1.09,0.38,0.35,0.35,209,5,219,0,37.7,1,39.5,36,4/10/2003,8:10:00
49,39,30,10,4.18,0.26,4.94,3.41,3.46,0.22,3.8,2.65,2.02,0.38,3.03,1.12,1.16,0.38,0.35,0.35,195,3,197,0,40,0.3,40.3,39.5,4/10/2003,8:20:00
