BENSON,,,,
NGR = 4625E 1916N,,,,
Altitude = 57 metres,,,,
Latitude = 51:62N Longitude = 01:10W,,,,
Date,Hour,Hourly Mean Windspeed (kn),Hourly Mean Wind Direction (o),Hourly Temperature (°C)
01/01/2012,0,14,210,12.3
01/01/2012,1,12,220,11.9
01/01/2012,2,10,210,11.8
01/01/2012,3,11,210,11.7
01/01/2012,4,10,210,12.1
01/01/2012,5,10,210,11.8
01/01/2012,6,11,210,11.7
01/01/2012,7,10,220,11.7
01/01/2012,8,10,210,11.0
01/01/2012,9,12,200,11.1
01/01/2012,10,12,210,11.2
01/01/2012,11,12,210,11.8
01/01/2012,12,15,210,11.7
01/01/2012,13,12,200,11.5
01/01/2012,14,9,200,11.3
01/01/2012,15,8,210,10.4
01/01/2012,16,9,190,10.0
01/01/2012,17,9,200,9.7
01/01/2012,18,8,220,9.4
01/01/2012,19,8,220,9.5
01/01/2012,20,9,230,8.8
01/01/2012,21,8,240,8.3
01/01/2012,22,9,240,7.3
01/01/2012,23,7,220,5.9
02/01/2012,0,6,200,5.3
02/01/2012,1,7,190,5.2
02/01/2012,2,7,200,4.1
02/01/2012,3,6,210,4.5
02/01/2012,4,7,210,4.2
02/01/2012,5,9,210,5.1
02/01/2012,6,8,220,4.2
02/01/2012,7,9,220,3.9
02/01/2012,8,9,220,3.6
02/01/2012,9,8,220,3.5
02/01/2012,10,8,220,4.5
02/01/2012,11,9,220,5.7
02/01/2012,12,13,230,5.9
02/01/2012,13,13,230,6.7
02/01/2012,14,15,230,6.8
02/01/2012,15,15,230,5.5
02/01/2012,16,13,230,4.3
02/01/2012,17,11,210,3.8
02/01/2012,18,8,200,4.4
02/01/2012,19,9,210,4.4
02/01/2012,20,10,200,4.2
02/01/2012,21,11,210,4.9
02/01/2012,22,11,190,4.1
02/01/2012,23,10,180,4.3
03/01/2012,0,10,180,5.9
03/01/2012,1,12,190,7.2
03/01/2012,2,15,190,7.3
03/01/2012,3,18,180,8.3
03/01/2012,4,23,190,9.0
03/01/2012,5,21,200,10.3
03/01/2012,6,23,210,11.2
03/01/2012,7,27,210,11.3
03/01/2012,8,27,210,11.8
03/01/2012,9,27,210,12.2
03/01/2012,10,27,220,12.4
03/01/2012,11,25,220,11.8
03/01/2012,12,20,270,7.4
03/01/2012,13,14,240,7.7
03/01/2012,14,16,250,7.4
03/01/2012,15,17,250,9.0
03/01/2012,16,20,260,6.6
03/01/2012,17,16,250,6.3
03/01/2012,18,15,250,6.1
03/01/2012,19,15,250,5.8
03/01/2012,20,11,240,5.6
03/01/2012,21,11,240,5.6
03/01/2012,22,12,230,5.4
03/01/2012,23,10,220,5.7
04/01/2012,0,11,260,6.2
04/01/2012,1,14,270,6.0
04/01/2012,2,13,270,5.8
04/01/2012,3,13,270,5.3
04/01/2012,4,12,260,5.3
04/01/2012,5,11,260,4.6
04/01/2012,6,13,250,5.2
04/01/2012,7,13,250,5.2
04/01/2012,8,10,250,4.9
04/01/2012,9,9,240,5.1
04/01/2012,10,11,240,6.0
04/01/2012,11,11,230,6.9
04/01/2012,12,12,240,8.0
04/01/2012,13,14,240,8.2
04/01/2012,14,13,220,7.5
04/01/2012,15,12,220,6.8
04/01/2012,16,13,220,7.4
04/01/2012,17,15,230,8.1
04/01/2012,18,17,230,8.6
04/01/2012,19,20,240,8.6
04/01/2012,20,21,250,8.6
04/01/2012,21,19,250,8.7
04/01/2012,22,19,250,9.0
04/01/2012,23,21,250,9.4
05/01/2012,0,23,250,9.8
05/01/2012,1,23,250,10.0
05/01/2012,2,24,260,10.5
05/01/2012,3,23,260,10.7
05/01/2012,4,22,260,10.7
05/01/2012,5,22,260,10.9
05/01/2012,6,24,260,10.4
05/01/2012,7,21,260,10.4
05/01/2012,8,21,270,10.8
05/01/2012,9,20,280,9.7
05/01/2012,10,20,280,8.9
05/01/2012,11,17,290,8.7
05/01/2012,12,19,280,9.6
05/01/2012,13,22,280,10.0
05/01/2012,14,23,290,9.7
05/01/2012,15,19,300,9.5
05/01/2012,16,16,310,8.8
05/01/2012,17,15,310,8.0
05/01/2012,18,12,300,7.5
05/01/2012,19,9,290,6.8
05/01/2012,20,9,300,6.2
05/01/2012,21,7,290,6.0
05/01/2012,22,6,280,5.7
05/01/2012,23,10,290,5.6
06/01/2012,0,10,290,5.7
06/01/2012,1,8,300,5.6
06/01/2012,2,8,310,6.0
06/01/2012,3,10,310,6.1
06/01/2012,4,10,320,5.4
06/01/2012,5,7,310,3.7
06/01/2012,6,4,320,2.4
06/01/2012,7,3,230,0.7
06/01/2012,8,2,170,0.7
06/01/2012,9,3,170,1.1
06/01/2012,10,3,180,3.0
06/01/2012,11,2,190,6.6
06/01/2012,12,6,260,7.1
06/01/2012,13,7,270,8.1
06/01/2012,14,8,270,8.2
06/01/2012,15,6,240,8.4
06/01/2012,16,7,230,7.8
06/01/2012,17,8,220,7.9
06/01/2012,18,9,230,7.9
06/01/2012,19,8,230,7.5
06/01/2012,20,8,220,7.4
06/01/2012,21,9,230,8.6
06/01/2012,22,10,240,9.2
06/01/2012,23,12,240,9.7
07/01/2012,0,13,240,10.0
07/01/2012,1,13,250,10.0
07/01/2012,2,13,250,10.0
07/01/2012,3,12,250,9.9
07/01/2012,4,11,250,9.9
07/01/2012,5,11,250,10.0
07/01/2012,6,10,250,10.0
07/01/2012,7,12,280,9.3
07/01/2012,8,10,280,8.5
07/01/2012,9,8,280,8.3
07/01/2012,10,8,280,8.6
07/01/2012,11,9,270,8.7
07/01/2012,12,10,280,9.5
07/01/2012,13,10,280,9.9
07/01/2012,14,9,290,9.9
07/01/2012,15,8,280,9.0
07/01/2012,16,7,270,8.5
07/01/2012,17,8,270,8.2
07/01/2012,18,7,260,7.9
07/01/2012,19,10,270,7.9
07/01/2012,20,14,270,7.9
07/01/2012,21,10,280,7.7
07/01/2012,22,7,280,7.6
07/01/2012,23,6,260,7.6
08/01/2012,0,6,260,7.8
08/01/2012,1,8,280,7.7
08/01/2012,2,5,270,7.8
08/01/2012,3,6,280,8.0
08/01/2012,4,6,280,7.8
08/01/2012,5,5,270,7.6
08/01/2012,6,5,270,7.6
08/01/2012,7,5,280,7.5
08/01/2012,8,5,290,7.5
08/01/2012,9,4,290,7.8
08/01/2012,10,3,260,8.0
08/01/2012,11,4,270,8.4
08/01/2012,12,6,260,8.8
08/01/2012,13,9,270,9.3
08/01/2012,14,7,270,9.6
08/01/2012,15,6,260,9.6
08/01/2012,16,5,240,9.5
08/01/2012,17,5,200,8.8
08/01/2012,18,5,220,9.1
08/01/2012,19,4,210,8.6
08/01/2012,20,3,240,8.9
08/01/2012,21,2,250,6.0
08/01/2012,22,4,200,5.7
08/01/2012,23,5,190,7.1
09/01/2012,0,8,250,9.0
09/01/2012,1,6,230,8.0
09/01/2012,2,6,250,9.2
09/01/2012,3,5,240,8.9
09/01/2012,4,5,230,8.5
09/01/2012,5,5,230,8.9
09/01/2012,6,8,220,8.7
09/01/2012,7,7,210,9.2
09/01/2012,8,10,230,9.7
09/01/2012,9,8,220,9.6
09/01/2012,10,8,220,10.4
09/01/2012,11,9,240,11.7
09/01/2012,12,12,250,11.6
09/01/2012,13,10,250,11.6
09/01/2012,14,10,250,11.3
09/01/2012,15,9,260,11.3
09/01/2012,16,9,250,11.1
09/01/2012,17,8,250,10.3
09/01/2012,18,7,250,10.0
09/01/2012,19,5,250,10.0
09/01/2012,20,5,240,9.4
09/01/2012,21,4,250,9.5
09/01/2012,22,2,240,9.2
09/01/2012,23,4,260,8.9
10/01/2012,0,3,220,8.4
10/01/2012,1,4,200,8.8
10/01/2012,2,5,190,8.7
10/01/2012,3,4,200,8.6
10/01/2012,4,6,210,9.1
10/01/2012,5,6,230,8.9
10/01/2012,6,6,220,8.9
10/01/2012,7,5,200,8.8
10/01/2012,8,7,220,9.5
10/01/2012,9,7,230,9.5
10/01/2012,10,8,240,9.7
10/01/2012,11,7,240,10.4
10/01/2012,12,11,250,10.9
10/01/2012,13,10,250,10.9
10/01/2012,14,9,250,11.1
10/01/2012,15,8,250,10.9
10/01/2012,16,9,240,10.6
10/01/2012,17,8,240,10.3
10/01/2012,18,8,240,9.9
10/01/2012,19,9,250,9.7
10/01/2012,20,9,250,9.5
10/01/2012,21,8,240,8.7
10/01/2012,22,6,240,7.5
10/01/2012,23,6,200,7.1
11/01/2012,0,6,200,7.2
11/01/2012,1,6,190,6.6
11/01/2012,2,6,190,5.0
11/01/2012,3,7,180,6.4
11/01/2012,4,6,190,5.4
11/01/2012,5,6,190,6.5
11/01/2012,6,6,190,5.8
11/01/2012,7,5,190,4.7
11/01/2012,8,5,180,5.9
11/01/2012,9,5,190,5.7
11/01/2012,10,5,170,9.1
11/01/2012,11,5,210,10.4
11/01/2012,12,8,240,10.1
11/01/2012,13,8,240,10.1
11/01/2012,14,8,250,10.4
11/01/2012,15,7,240,10.6
11/01/2012,16,6,240,10.3
11/01/2012,17,6,240,10.0
11/01/2012,18,6,230,9.9
11/01/2012,19,7,230,9.0
11/01/2012,20,7,220,9.4
11/01/2012,21,7,210,9.0
11/01/2012,22,7,200,7.7
11/01/2012,23,7,200,7.2
12/01/2012,0,6,200,6.9
12/01/2012,1,6,210,8.2
12/01/2012,2,8,230,8.6
12/01/2012,3,9,220,7.7
12/01/2012,4,9,210,8.3
12/01/2012,5,11,240,8.9
12/01/2012,6,11,230,9.2
12/01/2012,7,10,220,9.0
12/01/2012,8,11,230,8.8
12/01/2012,9,10,240,10.1
12/01/2012,10,13,250,10.7
12/01/2012,11,14,250,11.3
12/01/2012,12,11,250,11.5
12/01/2012,13,11,270,11.5
12/01/2012,14,10,280,12.0
12/01/2012,15,10,320,10.1
12/01/2012,16,7,320,8.9
12/01/2012,17,6,320,7.9
12/01/2012,18,4,310,4.2
12/01/2012,19,4,330,4.8
12/01/2012,20,4,350,3.6
12/01/2012,21,4,20,3.4
12/01/2012,22,3,320,1.8
12/01/2012,23,2,240,-0.7
13/01/2012,0,2,190,-2.1
13/01/2012,1,2,300,-2.3
13/01/2012,2,2,130,-2.6
13/01/2012,3,2,60,-3.0
13/01/2012,4,1,60,-3.1
13/01/2012,5,2,30,-3.9
13/01/2012,6,2,50,-3.0
13/01/2012,7,1,170,-3.7
13/01/2012,8,2,160,-3.7
13/01/2012,9,1,180,-3.7
13/01/2012,10,1,170,-0.1
13/01/2012,11,2,180,2.0
13/01/2012,12,2,10,3.6
13/01/2012,13,4,10,4.6
13/01/2012,14,5,10,5.1
13/01/2012,15,5,10,5.2
13/01/2012,16,4,30,3.5
13/01/2012,17,3,40,-0.7
13/01/2012,18,3,90,-2.2
13/01/2012,19,3,90,-2.2
13/01/2012,20,2,90,-3.7
13/01/2012,21,1,80,-4.3
13/01/2012,22,1,60,-4.3
13/01/2012,23,0,0,-5.3
14/01/2012,0,1,40,-4.6
14/01/2012,1,1,310,-5.2
14/01/2012,2,1,80,-5.8
14/01/2012,3,1,190,-4.9
14/01/2012,4,1,140,-5.2
14/01/2012,5,0,0,-5.4
14/01/2012,6,1,150,-5.8
14/01/2012,7,1,330,-6.2
14/01/2012,8,1,220,-7.0
14/01/2012,9,1,220,-6.0
14/01/2012,10,1,270,-2.3
14/01/2012,11,1,330,-1.2
14/01/2012,12,1,300,2.4
14/01/2012,13,4,170,5.2
14/01/2012,14,5,140,5.8
14/01/2012,15,5,120,5.2
14/01/2012,16,5,110,3.3
14/01/2012,17,4,100,0.2
14/01/2012,18,6,90,-0.3
14/01/2012,19,8,100,1.8
14/01/2012,20,9,100,0.3
14/01/2012,21,7,90,-0.3
14/01/2012,22,8,90,0.2
14/01/2012,23,7,90,-0.1
15/01/2012,0,7,100,1.9
15/01/2012,1,7,120,1.6
15/01/2012,2,6,110,-1.3
15/01/2012,3,5,100,-1.6
15/01/2012,4,6,100,-1.0
15/01/2012,5,6,100,-0.7
15/01/2012,6,7,110,-1.3
15/01/2012,7,7,100,0.4
15/01/2012,8,7,120,0.9
15/01/2012,9,9,120,1.7
15/01/2012,10,10,120,3.0
15/01/2012,11,10,120,4.1
15/01/2012,12,10,120,5.2
15/01/2012,13,12,120,5.4
15/01/2012,14,13,130,5.7
15/01/2012,15,11,110,5.2
15/01/2012,16,8,100,3.9
15/01/2012,17,6,90,1.1
15/01/2012,18,5,100,0.8
15/01/2012,19,7,90,0.7
15/01/2012,20,11,100,1.8
15/01/2012,21,9,100,2.0
15/01/2012,22,6,90,1.3
15/01/2012,23,8,100,1.7
16/01/2012,0,10,100,2.0
16/01/2012,1,6,120,0.3
16/01/2012,2,1,100,-1.1
16/01/2012,3,2,40,-0.5
16/01/2012,4,2,10,-1.6
16/01/2012,5,2,360,-1.2
16/01/2012,6,2,340,-0.5
16/01/2012,7,2,20,-1.3
16/01/2012,8,2,330,-1.2
16/01/2012,9,3,50,-0.9
16/01/2012,10,2,330,1.5
16/01/2012,11,7,80,3.5
16/01/2012,12,8,110,4.9
16/01/2012,13,7,110,5.5
16/01/2012,14,6,100,6.3
16/01/2012,15,5,110,6.2
16/01/2012,16,4,120,5.1
16/01/2012,17,2,100,1.2
16/01/2012,18,2,70,-1.1
16/01/2012,19,2,10,-2.3
16/01/2012,20,2,60,0.9
16/01/2012,21,3,100,1.1
16/01/2012,22,4,150,0.2
16/01/2012,23,3,180,0.4
17/01/2012,0,3,180,-0.8
17/01/2012,1,4,190,-0.2
17/01/2012,2,3,220,-1.2
17/01/2012,3,3,210,-2.1
17/01/2012,4,3,200,-3.9
17/01/2012,5,3,160,-3.2
17/01/2012,6,1,240,-4.6
17/01/2012,7,1,280,-5.0
17/01/2012,8,2,240,-5.5
17/01/2012,9,2,60,-3.8
17/01/2012,10,2,190,-1.1
17/01/2012,11,2,210,-0.3
17/01/2012,12,3,200,1.3
17/01/2012,13,3,210,3.0
17/01/2012,14,4,190,4.0
17/01/2012,15,6,190,4.4
17/01/2012,16,5,180,4.2
17/01/2012,17,4,170,2.7
17/01/2012,18,4,180,3.1
17/01/2012,19,6,160,3.4
17/01/2012,20,7,170,2.0
17/01/2012,21,6,180,1.6
17/01/2012,22,6,180,0.5
17/01/2012,23,7,180,3.1
18/01/2012,0,8,180,2.4
18/01/2012,1,9,170,3.4
18/01/2012,2,10,180,5.4
18/01/2012,3,11,180,6.0
18/01/2012,4,11,180,6.5
18/01/2012,5,11,190,7.4
18/01/2012,6,12,190,8.0
18/01/2012,7,11,190,8.3
18/01/2012,8,11,190,8.7
18/01/2012,9,11,180,8.9
18/01/2012,10,10,190,9.4
18/01/2012,11,9,190,9.9
18/01/2012,12,8,190,10.6
18/01/2012,13,8,210,11.3
18/01/2012,14,6,220,12.1
18/01/2012,15,8,240,11.9
18/01/2012,16,7,230,11.6
18/01/2012,17,6,220,11.1
18/01/2012,18,5,230,10.9
18/01/2012,19,7,230,10.9
18/01/2012,20,7,230,10.7
18/01/2012,21,6,230,10.6
18/01/2012,22,8,230,10.8
18/01/2012,23,8,230,10.9
19/01/2012,0,10,240,10.7
19/01/2012,1,11,240,10.4
19/01/2012,2,10,230,9.9
19/01/2012,3,8,230,9.5
19/01/2012,4,8,200,10.0
19/01/2012,5,11,210,10.7
19/01/2012,6,10,230,11.6
19/01/2012,7,16,250,11.9
19/01/2012,8,16,270,7.8
19/01/2012,9,5,340,7.2
19/01/2012,10,3,250,7.7
19/01/2012,11,4,260,8.6
19/01/2012,12,7,280,9.0
19/01/2012,13,11,270,9.6
19/01/2012,14,12,270,10.4
19/01/2012,15,14,270,9.5
19/01/2012,16,13,260,8.2
19/01/2012,17,10,250,7.4
19/01/2012,18,8,240,6.9
19/01/2012,19,11,250,7.2
19/01/2012,20,13,250,7.0
19/01/2012,21,15,260,6.8
19/01/2012,22,12,280,6.3
19/01/2012,23,11,280,5.5
20/01/2012,0,10,270,5.4
20/01/2012,1,10,280,5.9
20/01/2012,2,10,270,5.1
20/01/2012,3,9,260,4.5
20/01/2012,4,8,250,5.0
20/01/2012,5,11,260,5.5
20/01/2012,6,11,250,5.6
20/01/2012,7,11,240,6.3
20/01/2012,8,12,250,6.9
20/01/2012,9,12,250,7.7
20/01/2012,10,13,250,8.2
20/01/2012,11,13,260,8.8
20/01/2012,12,13,260,9.3
20/01/2012,13,13,260,10.0
20/01/2012,14,12,270,10.1
20/01/2012,15,11,270,9.9
20/01/2012,16,11,270,9.4
20/01/2012,17,11,260,9.3
20/01/2012,18,10,260,9.1
20/01/2012,19,8,250,8.5
20/01/2012,20,7,240,7.7
20/01/2012,21,7,240,8.1
20/01/2012,22,6,230,8.4
20/01/2012,23,9,230,9.3
21/01/2012,0,10,240,9.9
21/01/2012,1,11,240,10.1
21/01/2012,2,13,250,10.5
21/01/2012,3,12,250,10.8
21/01/2012,4,11,250,11.0
21/01/2012,5,13,250,10.8
21/01/2012,6,14,250,10.2
21/01/2012,7,12,250,9.9
21/01/2012,8,15,250,10.4
21/01/2012,9,13,250,10.7
21/01/2012,10,13,260,11.1
21/01/2012,11,15,260,11.5
21/01/2012,12,16,260,11.6
21/01/2012,13,15,280,10.6
21/01/2012,14,14,290,11.1
21/01/2012,15,19,280,10.2
21/01/2012,16,16,280,9.5
21/01/2012,17,13,280,9.2
21/01/2012,18,11,290,8.9
21/01/2012,19,9,270,8.3
21/01/2012,20,9,270,8.4
21/01/2012,21,10,280,7.8
21/01/2012,22,9,260,7.7
21/01/2012,23,9,270,6.8
22/01/2012,0,11,270,7.1
22/01/2012,1,10,270,6.9
22/01/2012,2,10,260,5.7
22/01/2012,3,9,240,6.0
22/01/2012,4,10,240,5.8
22/01/2012,5,9,230,5.8
22/01/2012,6,12,250,6.9
22/01/2012,7,12,240,6.9
22/01/2012,8,14,250,8.3
22/01/2012,9,16,250,9.0
22/01/2012,10,15,250,9.5
22/01/2012,11,12,240,10.2
22/01/2012,12,15,260,11.2
22/01/2012,13,15,290,11.2
22/01/2012,14,13,290,11.1
22/01/2012,15,14,300,10.6
22/01/2012,16,13,300,9.9
22/01/2012,17,9,290,9.2
22/01/2012,18,8,290,7.9
22/01/2012,19,5,280,7.0
22/01/2012,20,4,290,4.4
22/01/2012,21,4,280,5.6
22/01/2012,22,5,270,4.6
22/01/2012,23,4,250,5.1
23/01/2012,0,4,270,5.4
23/01/2012,1,2,250,3.5
23/01/2012,2,2,250,4.6
23/01/2012,3,5,260,5.6
23/01/2012,4,6,270,5.9
23/01/2012,5,6,270,6.2
23/01/2012,6,6,260,5.6
23/01/2012,7,5,260,4.3
23/01/2012,8,5,260,4.8
23/01/2012,9,5,250,5.5
23/01/2012,10,6,250,6.2
23/01/2012,11,5,260,6.9
23/01/2012,12,8,260,7.4
23/01/2012,13,10,270,7.8
23/01/2012,14,8,280,7.8
23/01/2012,15,9,280,7.5
23/01/2012,16,8,280,6.7
23/01/2012,17,6,280,6.3
23/01/2012,18,5,270,4.8
23/01/2012,19,3,270,1.9
23/01/2012,20,3,300,2.4
23/01/2012,21,2,90,0.8
23/01/2012,22,2,200,1.0
23/01/2012,23,3,220,1.7
24/01/2012,0,2,220,-1.6
24/01/2012,1,3,180,-1.2
24/01/2012,2,2,170,-3.8
24/01/2012,3,2,150,-3.3
24/01/2012,4,2,130,-2.0
24/01/2012,5,2,180,-0.2
24/01/2012,6,4,170,1.3
24/01/2012,7,5,170,2.7
24/01/2012,8,7,170,4.0
24/01/2012,9,10,170,4.3
24/01/2012,10,12,170,4.6
24/01/2012,11,11,180,5.9
24/01/2012,12,9,190,7.1
24/01/2012,13,4,200,8.3
24/01/2012,14,3,250,9.9
24/01/2012,15,5,280,10.4
24/01/2012,16,5,270,10.5
24/01/2012,17,4,250,10.4
24/01/2012,18,3,230,9.8
24/01/2012,19,2,210,10.0
24/01/2012,20,3,190,9.5
24/01/2012,21,2,190,9.2
24/01/2012,22,3,220,9.3
24/01/2012,23,2,210,9.4
25/01/2012,0,3,200,9.4
25/01/2012,1,4,230,9.3
25/01/2012,2,6,220,9.7
25/01/2012,3,7,250,9.6
25/01/2012,4,8,230,9.0
25/01/2012,5,8,240,8.7
25/01/2012,6,6,230,8.7
25/01/2012,7,5,210,8.4
25/01/2012,8,6,220,8.6
25/01/2012,9,8,200,8.3
25/01/2012,10,7,190,8.4
25/01/2012,11,7,190,8.9
25/01/2012,12,9,200,9.3
25/01/2012,13,9,190,9.6
25/01/2012,14,9,180,9.8
25/01/2012,15,11,190,9.8
25/01/2012,16,11,190,9.6
25/01/2012,17,12,180,9.6
25/01/2012,18,16,190,9.3
25/01/2012,19,15,180,8.8
25/01/2012,20,14,180,8.8
25/01/2012,21,15,170,8.5
25/01/2012,22,15,170,8.1
25/01/2012,23,15,170,8.5
26/01/2012,0,16,170,8.6
26/01/2012,1,16,180,8.9
26/01/2012,2,16,170,8.8
26/01/2012,3,15,180,7.1
26/01/2012,4,5,220,6.1
26/01/2012,5,6,180,5.8
26/01/2012,6,8,170,5.8
26/01/2012,7,9,180,6.0
26/01/2012,8,10,190,5.8
26/01/2012,9,8,180,5.3
26/01/2012,10,9,180,6.5
26/01/2012,11,13,200,7.2
26/01/2012,12,14,220,7.5
26/01/2012,13,13,230,7.0
26/01/2012,14,14,240,5.0
26/01/2012,15,13,230,6.3
26/01/2012,16,9,220,6.1
26/01/2012,17,8,170,3.3
26/01/2012,18,9,150,5.0
26/01/2012,19,11,170,5.7
26/01/2012,20,16,220,4.5
26/01/2012,21,9,270,2.4
26/01/2012,22,5,220,1.4
26/01/2012,23,6,200,0.2
27/01/2012,0,7,190,0.8
27/01/2012,1,9,190,1.5
27/01/2012,2,10,180,1.7
27/01/2012,3,8,190,2.2
27/01/2012,4,9,210,3.3
27/01/2012,5,8,210,2.5
27/01/2012,6,7,210,2.3
27/01/2012,7,8,220,2.5
27/01/2012,8,7,210,2.2
27/01/2012,9,6,210,2.7
27/01/2012,10,6,220,4.1
27/01/2012,11,7,230,5.7
27/01/2012,12,8,240,7.3
27/01/2012,13,8,240,8.1
27/01/2012,14,10,230,8.1
27/01/2012,15,10,230,7.4
27/01/2012,16,8,220,6.6
27/01/2012,17,7,250,4.5
27/01/2012,18,5,220,4.2
27/01/2012,19,5,220,3.2
27/01/2012,20,5,200,1.0
27/01/2012,21,4,200,2.9
27/01/2012,22,4,190,2.4
27/01/2012,23,4,230,3.4
28/01/2012,0,4,290,2.9
28/01/2012,1,4,310,3.6
28/01/2012,2,5,330,3.4
28/01/2012,3,7,340,3.2
28/01/2012,4,7,350,2.9
28/01/2012,5,8,360,3.1
28/01/2012,6,7,360,3.0
28/01/2012,7,5,350,2.9
28/01/2012,8,5,360,2.5
28/01/2012,9,3,20,2.6
28/01/2012,10,3,330,3.4
28/01/2012,11,6,350,4.0
28/01/2012,12,8,360,4.8
28/01/2012,13,8,350,5.2
28/01/2012,14,8,350,5.6
28/01/2012,15,7,340,5.6
28/01/2012,16,7,340,5.3
28/01/2012,17,6,350,4.4
28/01/2012,18,5,340,4.3
28/01/2012,19,6,340,4.3
28/01/2012,20,4,350,3.5
28/01/2012,21,3,20,-0.2
28/01/2012,22,2,30,-0.6
28/01/2012,23,2,350,-1.9
29/01/2012,0,1,290,-1.3
29/01/2012,1,2,20,-0.4
29/01/2012,2,3,350,0.4
29/01/2012,3,3,340,0.3
29/01/2012,4,3,20,0.4
29/01/2012,5,3,320,1.0
29/01/2012,6,2,10,1.1
29/01/2012,7,3,360,0.8
29/01/2012,8,3,10,0.7
29/01/2012,9,3,340,0.8
29/01/2012,10,2,360,0.9
29/01/2012,11,2,20,1.3
29/01/2012,12,2,40,1.8
29/01/2012,13,2,310,2.0
29/01/2012,14,3,10,2.5
29/01/2012,15,3,20,3.1
29/01/2012,16,3,10,3.2
29/01/2012,17,3,40,3.0
29/01/2012,18,2,110,2.0
29/01/2012,19,1,30,0.9
29/01/2012,20,2,40,1.3
29/01/2012,21,7,90,2.4
29/01/2012,22,8,90,1.9
29/01/2012,23,6,90,2.0
30/01/2012,0,4,70,2.3
30/01/2012,1,3,30,2.0
30/01/2012,2,3,30,1.5
30/01/2012,3,3,50,1.4
30/01/2012,4,3,30,1.0
30/01/2012,5,4,30,0.4
30/01/2012,6,4,40,-1.3
30/01/2012,7,4,70,-1.1
30/01/2012,8,3,60,-1.5
30/01/2012,9,2,330,-0.9
30/01/2012,10,2,360,1.3
30/01/2012,11,6,70,2.7
30/01/2012,12,5,40,2.7
30/01/2012,13,5,50,3.4
30/01/2012,14,6,40,2.8
30/01/2012,15,8,60,2.1
30/01/2012,16,3,100,3.5
30/01/2012,17,5,30,-0.5
30/01/2012,18,4,20,-1.7
30/01/2012,19,2,40,-3.4
30/01/2012,20,1,90,-4.7
30/01/2012,21,2,180,-3.7
30/01/2012,22,1,160,-4.1
30/01/2012,23,1,150,-2.4
31/01/2012,0,1,210,-1.9
31/01/2012,1,0,0,-1.5
31/01/2012,2,1,40,-1.3
31/01/2012,3,2,360,-1.2
31/01/2012,4,2,350,-1.0
31/01/2012,5,3,350,-1.0
31/01/2012,6,2,20,-1.0
31/01/2012,7,4,20,-0.3
31/01/2012,8,5,40,-1.8
31/01/2012,9,5,40,-1.2
31/01/2012,10,3,30,-0.3
31/01/2012,11,5,60,0.9
31/01/2012,12,8,80,1.4
31/01/2012,13,6,100,2.8
31/01/2012,14,8,80,2.7
31/01/2012,15,9,60,2.6
31/01/2012,16,9,60,1.7
31/01/2012,17,8,60,1.2
31/01/2012,18,8,40,-0.6
31/01/2012,19,6,30,-0.9
31/01/2012,20,5,20,-2.0
31/01/2012,21,5,20,-1.9
31/01/2012,22,6,20,-1.7
31/01/2012,23,8,40,-0.3
01/02/2012,0,9,50,-0.2
01/02/2012,1,8,30,-0.6
01/02/2012,2,8,30,-0.9
01/02/2012,3,10,30,-0.9
01/02/2012,4,11,30,-1.3
01/02/2012,5,11,30,-1.4
01/02/2012,6,10,30,-1.3
01/02/2012,7,10,30,-1.6
01/02/2012,8,9,30,-2.1
01/02/2012,9,7,20,-2.5
01/02/2012,10,11,30,-1.5
01/02/2012,11,14,30,-0.2
01/02/2012,12,15,30,0.7
01/02/2012,13,14,40,1.3
01/02/2012,14,13,40,2.2
01/02/2012,15,13,40,2.4
01/02/2012,16,14,40,1.7
01/02/2012,17,12,40,0.7
01/02/2012,18,10,40,-0.8
01/02/2012,19,9,30,-1.6
01/02/2012,20,10,30,-1.8
01/02/2012,21,10,30,-2.6
01/02/2012,22,9,30,-3.1
01/02/2012,23,9,30,-3.5
02/02/2012,0,8,40,-4.1
02/02/2012,1,8,20,-4.2
02/02/2012,2,6,20,-5.6
02/02/2012,3,5,30,-6.5
02/02/2012,4,5,30,-5.3
02/02/2012,5,8,40,-3.0
02/02/2012,6,9,30,-4.5
02/02/2012,7,7,20,-5.7
02/02/2012,8,4,10,-5.9
02/02/2012,9,2,320,-5.0
02/02/2012,10,5,10,-2.2
02/02/2012,11,8,30,0.1
02/02/2012,12,14,50,0.6
02/02/2012,13,13,50,1.2
02/02/2012,14,12,40,1.3
02/02/2012,15,13,40,1.0
02/02/2012,16,11,40,0.4
02/02/2012,17,9,40,-1.4
02/02/2012,18,7,30,-2.8
02/02/2012,19,5,40,-3.7
02/02/2012,20,4,10,-5.0
02/02/2012,21,4,20,-4.2
02/02/2012,22,3,350,-6.1
02/02/2012,23,2,340,-7.4
03/02/2012,0,3,20,-9.4
03/02/2012,1,4,30,-7.8
03/02/2012,2,4,20,-7.9
03/02/2012,3,3,10,-7.8
03/02/2012,4,2,360,-7.9
03/02/2012,5,3,30,-7.8
03/02/2012,6,1,330,-9.9
03/02/2012,7,1,280,-9.4
03/02/2012,8,1,310,-8.6
03/02/2012,9,1,210,-6.7
03/02/2012,10,1,240,-5.1
03/02/2012,11,1,260,-2.1
03/02/2012,12,1,340,-0.8
03/02/2012,13,3,320,0.1
03/02/2012,14,5,350,0.2
